ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma1-p-1-1,Ma1,p-1,–,p-1-n,,Szeto2018
Ma1-p-2-2,Ma1,p-2,+,p-2-y,,Szeto2018
Ma1-p-3-3,Ma1,p-3,–,p-3-n,,Szeto2018
Ma1-p-4-4,Ma1,p-4,–,p-4-n,,Szeto2018
Ma1-p-5-5,Ma1,p-5,–,p-5-n,,Szeto2018
Ma1-p-6-6,Ma1,p-6,+,p-6-y,,Szeto2018
Ma1-p-7-7,Ma1,p-7,+,p-7-y,,Szeto2018
Ma1-p-8-8,Ma1,p-8,+,p-8-y,,Szeto2018
Ma1-p-9-9,Ma1,p-9,+,p-9-y,,Szeto2018
Ma1-p-10-10,Ma1,p-10,+,p-10-y,,Szeto2018
Ma1-p-11-11,Ma1,p-11,–,p-11-n,,Szeto2018
Ma1-p-12-12,Ma1,p-12,–,p-12-n,,Szeto2018
Ma1-p-13-13,Ma1,p-13,–,p-13-n,,Szeto2018
Ma1-p-14-14,Ma1,p-14,–,p-14-n,,Szeto2018
Ma1-p-15-15,Ma1,p-15,–,p-15-n,,Szeto2018
Ma1-p-16-16,Ma1,p-16,–,p-16-n,,Szeto2018
Ma1-p-17-17,Ma1,p-17,–,p-17-n,,Szeto2018
Ma1-p-18-18,Ma1,p-18,–,p-18-n,,Szeto2018
Ma1-p-19-19,Ma1,p-19,+,p-19-y,,Szeto2018
Ma1-p-20-20,Ma1,p-20,+,p-20-y,,Szeto2018
Ma1-p-21-21,Ma1,p-21,–,p-21-n,,Szeto2018
Ma2-p-1-22,Ma2,p-1,–,p-1-n,,Szeto2018
Ma2-p-2-23,Ma2,p-2,–,p-2-n,,Szeto2018
Ma2-p-3-24,Ma2,p-3,–,p-3-n,,Szeto2018
Ma2-p-4-25,Ma2,p-4,–,p-4-n,,Szeto2018
Ma2-p-5-26,Ma2,p-5,–,p-5-n,,Szeto2018
Ma2-p-6-27,Ma2,p-6,+,p-6-y,,Szeto2018
Ma2-p-7-28,Ma2,p-7,+,p-7-y,,Szeto2018
Ma2-p-8-29,Ma2,p-8,+,p-8-y,,Szeto2018
Ma2-p-9-30,Ma2,p-9,+,p-9-y,,Szeto2018
Ma2-p-10-31,Ma2,p-10,+,p-10-y,,Szeto2018
Ma2-p-11-32,Ma2,p-11,–,p-11-n,,Szeto2018
Ma2-p-12-33,Ma2,p-12,–,p-12-n,,Szeto2018
Ma2-p-13-34,Ma2,p-13,–,p-13-n,,Szeto2018
Ma2-p-14-35,Ma2,p-14,–,p-14-n,,Szeto2018
Ma2-p-15-36,Ma2,p-15,–,p-15-n,,Szeto2018
Ma2-p-16-37,Ma2,p-16,–,p-16-n,,Szeto2018
Ma2-p-17-38,Ma2,p-17,–,p-17-n,,Szeto2018
Ma2-p-18-39,Ma2,p-18,–,p-18-n,,Szeto2018
Ma2-p-19-40,Ma2,p-19,+,p-19-y,,Szeto2018
Ma2-p-20-41,Ma2,p-20,+,p-20-y,,Szeto2018
Ma2-p-21-42,Ma2,p-21,–,p-21-n,,Szeto2018
Ma3-p-1-43,Ma3,p-1,–,p-1-n,,Szeto2018
Ma3-p-2-44,Ma3,p-2,–,p-2-n,,Szeto2018
Ma3-p-3-45,Ma3,p-3,–,p-3-n,,Szeto2018
Ma3-p-4-46,Ma3,p-4,–,p-4-n,,Szeto2018
Ma3-p-5-47,Ma3,p-5,–,p-5-n,,Szeto2018
Ma3-p-6-48,Ma3,p-6,+,p-6-y,,Szeto2018
Ma3-p-7-49,Ma3,p-7,+,p-7-y,,Szeto2018
Ma3-p-8-50,Ma3,p-8,+,p-8-y,,Szeto2018
Ma3-p-9-51,Ma3,p-9,+,p-9-y,,Szeto2018
Ma3-p-10-52,Ma3,p-10,–,p-10-n,,Szeto2018
Ma3-p-11-53,Ma3,p-11,–,p-11-n,,Szeto2018
Ma3-p-12-54,Ma3,p-12,–,p-12-n,,Szeto2018
Ma3-p-13-55,Ma3,p-13,–,p-13-n,,Szeto2018
Ma3-p-14-56,Ma3,p-14,–,p-14-n,,Szeto2018
Ma3-p-15-57,Ma3,p-15,–,p-15-n,,Szeto2018
Ma3-p-16-58,Ma3,p-16,–,p-16-n,,Szeto2018
Ma3-p-17-59,Ma3,p-17,–,p-17-n,,Szeto2018
Ma3-p-18-60,Ma3,p-18,–,p-18-n,,Szeto2018
Ma3-p-19-61,Ma3,p-19,+,p-19-y,,Szeto2018
Ma3-p-20-62,Ma3,p-20,+,p-20-y,,Szeto2018
Ma3-p-21-63,Ma3,p-21,–,p-21-n,,Szeto2018
Ma4-p-1-64,Ma4,p-1,–,p-1-n,,Szeto2018
Ma4-p-2-65,Ma4,p-2,+,p-2-y,,Szeto2018
Ma4-p-3-66,Ma4,p-3,–,p-3-n,,Szeto2018
Ma4-p-4-67,Ma4,p-4,–,p-4-n,,Szeto2018
Ma4-p-5-68,Ma4,p-5,–,p-5-n,,Szeto2018
Ma4-p-6-69,Ma4,p-6,+,p-6-y,,Szeto2018
Ma4-p-7-70,Ma4,p-7,+,p-7-y,,Szeto2018
Ma4-p-8-71,Ma4,p-8,+,p-8-y,,Szeto2018
Ma4-p-9-72,Ma4,p-9,+,p-9-y,,Szeto2018
Ma4-p-10-73,Ma4,p-10,+,p-10-y,,Szeto2018
Ma4-p-11-74,Ma4,p-11,–,p-11-n,,Szeto2018
Ma4-p-12-75,Ma4,p-12,–,p-12-n,,Szeto2018
Ma4-p-13-76,Ma4,p-13,+,p-13-y,,Szeto2018
Ma4-p-14-77,Ma4,p-14,–,p-14-n,,Szeto2018
Ma4-p-15-78,Ma4,p-15,–,p-15-n,,Szeto2018
Ma4-p-16-79,Ma4,p-16,–,p-16-n,,Szeto2018
Ma4-p-17-80,Ma4,p-17,–,p-17-n,,Szeto2018
Ma4-p-18-81,Ma4,p-18,–,p-18-n,,Szeto2018
Ma4-p-19-82,Ma4,p-19,+,p-19-y,,Szeto2018
Ma4-p-20-83,Ma4,p-20,+,p-20-y,,Szeto2018
Ma4-p-21-84,Ma4,p-21,–,p-21-n,,Szeto2018
Ma5-p-1-85,Ma5,p-1,–,p-1-n,,Szeto2018
Ma5-p-2-86,Ma5,p-2,+,p-2-y,,Szeto2018
Ma5-p-3-87,Ma5,p-3,–,p-3-n,,Szeto2018
Ma5-p-4-88,Ma5,p-4,–,p-4-n,,Szeto2018
Ma5-p-5-89,Ma5,p-5,–,p-5-n,,Szeto2018
Ma5-p-6-90,Ma5,p-6,+,p-6-y,,Szeto2018
Ma5-p-7-91,Ma5,p-7,+,p-7-y,,Szeto2018
Ma5-p-8-92,Ma5,p-8,+,p-8-y,,Szeto2018
Ma5-p-9-93,Ma5,p-9,+,p-9-y,,Szeto2018
Ma5-p-10-94,Ma5,p-10,–,p-10-n,,Szeto2018
Ma5-p-11-95,Ma5,p-11,–,p-11-n,,Szeto2018
Ma5-p-12-96,Ma5,p-12,–,p-12-n,,Szeto2018
Ma5-p-13-97,Ma5,p-13,–,p-13-n,,Szeto2018
Ma5-p-14-98,Ma5,p-14,–,p-14-n,,Szeto2018
Ma5-p-15-99,Ma5,p-15,–,p-15-n,,Szeto2018
Ma5-p-16-100,Ma5,p-16,–,p-16-n,,Szeto2018
Ma5-p-17-101,Ma5,p-17,–,p-17-n,,Szeto2018
Ma5-p-18-102,Ma5,p-18,–,p-18-n,,Szeto2018
Ma5-p-19-103,Ma5,p-19,+,p-19-y,,Szeto2018
Ma5-p-20-104,Ma5,p-20,+,p-20-y,,Szeto2018
Ma5-p-21-105,Ma5,p-21,–,p-21-n,,Szeto2018
Ma6-p-1-106,Ma6,p-1,–,p-1-n,,Szeto2018
Ma6-p-2-107,Ma6,p-2,+,p-2-y,,Szeto2018
Ma6-p-3-108,Ma6,p-3,–,p-3-n,,Szeto2018
Ma6-p-4-109,Ma6,p-4,–,p-4-n,,Szeto2018
Ma6-p-5-110,Ma6,p-5,–,p-5-n,,Szeto2018
Ma6-p-6-111,Ma6,p-6,+,p-6-y,,Szeto2018
Ma6-p-7-112,Ma6,p-7,+,p-7-y,,Szeto2018
Ma6-p-8-113,Ma6,p-8,+,p-8-y,,Szeto2018
Ma6-p-9-114,Ma6,p-9,+,p-9-y,,Szeto2018
Ma6-p-10-115,Ma6,p-10,–,p-10-n,,Szeto2018
